ID,Title,Description,DevelopmentCategory,AgeGroup,excerciseID
17,Stares at diffuse light,{NAME} will stare at a light that is not too bright like the window during the day or ceiling light fixture at night.,5,1,113
18,Eyes follow red object 6 inches away from sides to side,Both of {NAME}'s eye move both to the right & the left. Both eyes move together at the same time.,5,1,57
19,Sucks reflexively when an object is put in mouth,"{NAME} automatically sucks on a pacifier, finger, or bottle when {HISHER} lips are touched with it.",5,0,20
20,Shuts eyes at bright lights,{NAME} closes {HISHER} eyes in the presence of a bright light such as car headlights or direct sunlight.,5,0,40
21,Looks at objects 8 to 15 inches away,{NAME} will look at objects 8 to 15 inches away.,5,1,41
22,Makes gurgling sounds,{NAME} vocalizes by making noises that sound like gurgling.,6,1,97
23,Shows discomfort when diaper is being changed,"{NAME} becomes agitated when you are changing {HISHER} diaper. While this is unpleasant to experience as a caregiver, it shows that {NAME} senses that involve touch or feeling the coolness of air are working.",6,0,25
24,Expresses sounds of pleasure when picked up,{NAME} let's you know that {HESHE} is happy when you pick {HERHIM} up by changing {HISHER} behavior.,6,1,96
25,Holds head upright for a few seconds at a time,{NAME} can hold {HISHER} head up for a short amount of time when laying on stomach.,1,2,72
26,Moves head towards desired object,{NAME} can turn his head to look at a person or object of interest.,1,2,129
27,Leans on forearms while lying on stomach,{NAME} can lift up {HISHER} chest & rest {HISHER} body weight on {HISHER} forearms.,1,2,131
28,Pushes up body with arms while on stomach,{NAME} can lift {HISHER} chest of off the floor using {HISHER} arms by locking {HISHER} elbows for a short period of time.,1,2,132
29,Makes deliberate movements with arms & legs,{NAME} move {HISHER} arms intentionally as opposed to reflexively.,1,2,150
30,Pushes down on legs when feet are on hard surface,"{NAME} will push with {HISHER} feet when {HISHER} feet touch a hard surface, but does not bear weight on them.",1,2,133
31,Holds head upright when in vertical position,{NAME} can hold up {HISHER} head when held in a sitting position without you having to support the weight of his head.,1,3,224
32,Holds head upright while lying on stomach,{NAME} can hold his head up 90 degrees from the floor while laying on {HISHER} stomach.,1,3,221
33,Turns head in all directions while supported,{NAME} can turn head to look at objects of interested while you are holding {HERHIM}.,1,3,222
34,Kicks at plaything,"{NAME} will kick at and object of interest while being held or lying on {HISHER} back. {NAME} doesn't know how to reach for things yet with {HISHER} arms. In order to engage with a toy, {HESHE} will kick at it.",1,3,223
35,Bears weight on legs with sagging at knees,"{NAME} bears weight on {HISHER} legs when feet are flat on floor, but {HISHER} knees will be slightly bent as opposed to locked off.",1,3,231
36,Rolls from side to stomach,{NAME} can roll onto {HISHER} stomach when placed on both of {HISHER} sides.,1,3,226
37,Rocks from side to side while on stomach,{NAME} rocks from side to side while on stomach trying to figure out how to roll over.,1,4,335
38,Sticks toes in mouth,{NAME} can bring {HISHER} feet to {HISHER} hands & bring {HISHER} feet to {HISHER} mouth to suck on {HISHER} toes.,1,4,355
39,Keeps head steady while in a sitting position,{NAME} can hold {HISHER} head steady while sitting on your lap without {HISHER} head bobbing from the weight.,1,4,343
40,Lift head from cushion while on back,{NAME} can lift {HISHER} head off the cushion that {HISHER} is propped upon.,1,4,341
41,Pushes up to elbows while lying on stomach,{NAME} can push {HISHER} chest off of the floor while lying on stomach & support {HISHER} body weight on {HISHER} elbows.,1,4,342
42,Able to look right/left while lying on stomach,{NAME} can look to both the left & the right while lying on stomach.,1,5,466
43,Pushes up on arms lifting chest while on stomach,{NAME} can lift chest completely off of the floor by pushing up on {HISHER} arms.,1,5,438
44,Can remain in sitting position for a few seconds without support,{NAME} can remain in a sitting position for a few seconds without falling over without support.,1,5,455
45,Pulls to sitting position when hands are held,{NAME} can pull {HIMSELFHERSELF} into a sitting position from {HISHER} back while holding onto your thumbs.,1,5,453
46,Turns head to look both left and right in sitting position,{NAME} can turn {HISHER} head both left & right when in sitting position.,1,5,452
47,Rolls over while holding onto you,{NAME} can roll from {HISHER} back to stomach while holding onto your thumb.,1,5,442
48,Bears weight on legs when feet are flat on floor,{NAME} can support all of {HISHER} weight when standing on {HISHER} feet with feet flat on floor as opposed to tip toes.,1,5,458
49,Lifts legs to grab feet,{NAME} can lift his legs to grab both feet at the same time while lying on {HISHER} back.,1,5,457
50,Pulls to sitting position,{NAME} can pull {HIMSELFHERSELF} into a sitting position by {HIMSELFHERSELF}.,1,6,606
51,Sits upright with support,{NAME} can remain in a sitting position without falling over without support.,1,6,605
52,Pushes with both feet while in chair,"{NAME} pushes with both feet at the same time when sitting in a high-chair, stroller or car seat.",1,6,611
53,Rolls from stomach to back,{NAME} can roll from stomach to back without help.,1,6,600
54,Rolls from back to stomach,{NAME} can roll from back to stomach without help.,1,6,595
55,Rocks or bounces while in sitting position,{NAME} rocks or bounces while seat. {HESHE} wants to move & {HESHE} does this in preparation for crawling or standing.,1,6,604
56,Rolls from back to stomach in both directions,{NAME} can roll from back to stomach in both directions regularly.,1,6,595
57,Rolls from stomach to back in both directions,{NAME} can roll from stomach to back in both directions regularly.,1,6,600
58,Moves forwards while on stomach,{NAME} moves forward on stomach using the army crawl.,1,6,602
59,Fully extends arms to raise chest off of floor,{NAME} can push up on arms fully while laying on stomach lifting {HISHER} chest off of the floor. {NAME} is ready to get moving. Only a couple of more milestones until {HESHE} is crawling.,1,6,592
60,Full range of steady movement with head,{NAME} can look all around with {HISHER} head without it bobbing.,1,7,770
61,Pushes onto hands and knees from lying flat on stomach,{NAME} can push into both hands & knees from lying on stomach for a few seconds.,1,7,749
62,Moves backwards while on stomach,{NAME} can move backward while on {HISHER} stomach by push with {HISHER} hands.,1,7,762
63,Supports body with forearms while on hands & knees,{NAME} can support {HISHER} torso with {HISHER} forearms while on {HISHER} hands & knees.,1,7,751
64,Pulls to standing position with support,{NAME} can pull to standing while handing onto your thumbs.,1,7,758
65,Sits upright for minutes without support,{NAME} can sit upright steadily for 2-3 minutes without support.,1,8,916
66,Gets into sitting position on own from any position,{NAME} can get into a sitting position by {HIMSELFHERSELF} from any position.,1,8,914
67,Pushes body onto hands & knees,{NAME} can push {HIMSELFHERSELF} onto {HISHER} hands & knees. Almost there! {NAME} will be crawling once {HESHE} can figure out how to move forward from this position.,1,8,909
68,Rocks back & forth while on hands & knees,{NAME} rocks back & forth while on hands & knees. Here we go! {NAME} will be crawling soon!,1,8,908
69,Crawls forward,{NAME} can crawl forward. Watch out! Here {HESHE} goes!,1,9,1085
70,Crawls backwards,{NAME} can crawl backwards.,1,9,1084
71,Crawls on all fours with straight arms & legs,"{NAME} moves from place to place by ""crawling"" with straight arms & legs called ""Bear walking""",1,9,1083
72,Able sit from crawling position,{NAME} can transition from crawling to sitting position.,1,9,1097
73,Can lean forward & turn body sideways without falling over,{NAME} can lean forward while in a seated position & turn body sideways without falling over.,1,9,1145
74,Sits unsupported for up to 10 minutes,{NAME} can sit without support for up to 10 minutes.,1,9,264
75,Crawls under & around furniture,{NAME} can crawl under & around furniture,1,10,1277
76,Climbs on & off furniture,"{NAME} can climb onto furniture, as well as climb down.",1,10,1278
77,Attempts to stand up from crawling position,{NAME} uses furniture to try to get into a standing position from crawling.,1,10,1293
78,Pulls to standing position on own,{NAME} can pull into a standing position by holding onto a piece of furniture.,1,10,1292
79,Crawls up stairs,{NAME} can crawl up stairs.,1,10,1276
80,Crawls down stairs backwards,{NAME} can climb down the stairs backwards.,1,11,1464
81,Walks while adult is holding hands,{NAME} can walk while you hold onto {HISHER} hands.,1,11,1480
82,Walks while hanging onto furniture,"{NAME} has figured out how to ""walk"" around while hanging onto furniture. This is called ""cruising""",1,11,1481
83,Sits on own when standing,{NAME} can successfully move from standing position to sitting without falling over regularly.,1,11,1477
84,Stands without support,{NAME} can stand for a seconds without holding onto anyone or anything. Won't be long now before {HESHE} is walking!,1,11,1479
85,Stands up from crawling position with support,{NAME} has successfully figured out how to stand up from a crawling position using furniture most of the time.,1,11,1485
86,Bounces on legs while standing,{NAME} looks like {HESHE} is doing a jig by bouncing on {HESHE} legs while standing. But {HESHE} is building the strength & agility to maintain balance in order to walk without support.,1,12,1677
87,Walks while pushing box or walker,{NAME} walks smoothly using a walker or pushing a box.,1,12,1653
88,Turns torso left or right while standing,{NAME} can turn at the waist both to the left & right while standing & not lose balance most of the time.,1,12,1656
89,Lunges to move between furniture,{NAME} moves around the room cruising & launching {HIMSELFHERSELF} between pieces of furniture to get to a different part of the room.,1,12,1654
90,Pushes doors closed,{NAME} crawls to and open door & pushes it closed.,1,12,1658
91,Can get into sitting position from lying on back,{NAME} can get {HIMSELFHERSELF} into a sitting position from lying on {HISHER} back.,1,12,1657
92,Can stand without support for a few seconds,{NAME} can stand for a few seconds without holding onto anyone or anything.,1,12,1674
93,Walks 2 - 3 steps without support,{NAME} has taken 2 to 3 steps on own without holding onto anyone or anything. Here we go! Nothing is going to stop {HERHIM} now.,1,13,1772
94,Crawls up and entire flight of stairs without stopping,{NAME} can crawl up and entire flight of stairs without stopping to sit.,1,13,1783
95,"Holds out arms, legs & feet to help get dressed & undressed","{NAME} helps you with undressing & dressing by anticipating the next step in the process by holding out {HISHER} arms, legs, & feet.",1,14,1720
96,Crawls downstairs backwards,{NAME} can crawl down and entire flight of stairs without stopping to sit down.,1,14,1918
97,Stands from sitting without support,{NAME} has development the strength & balance to stand up from a sitting position without holding onto anyone or anything.,1,14,1909
98,Squats & stands back up using hands,{NAME} can bend knees into a squat position & stand back up by holding onto a piece of furniture.,1,15,2013
99,Walks alone with feet wide & arms up,{NAME} walks without help with a wide gate & arms up for balance. Zoom!,1,15,2012
100,Kneels without support,{NAME} can tall kneel for 1 minute without using hands,1,15,2014
101,"Walks alone, often falls & bumps into furniture","{NAME} walks unaided, but still falls often & bumps into furniture.",1,16,2118
102,Maintains balance standing or sitting while using 2 hands to explore toys,{NAME} can play with toys using both hands at the same time while standing or sitting without losing balance,1,16,2119
103,Can push or pull large toys,{NAME} can push or pull large toys without losing balance most of the time.,1,17,2237
104,Walks with arms down at sides,{NAME} has sufficient balance to walk with arms down at sides instead of up or out.,1,17,2240
105,Can turn head while standing without losing balance,{NAME} no longer loses balance when turning head while standing most of the time.,1,17,2239
106,Steady on feet,{NAME} maintains sufficient balance to be steady of {HISHER} feet most of time.,1,18,2360
107,"Can run, although falls easily","{NAME} has figured out how to get moving faster by running, although {HESHE} falls easily.",1,18,2356
108,Climbs onto adult's chair,{NAME} can climb successfully into and adult-sized chair.,1,18,2355
109,Walks up steps holding hand two feet at a time,"{NAME} can walk up while holding onto the railing by stepping onto a step, then bring the other foot to meet it on the step before moving onto the next step.",1,18,2359
110,Is able to carry a toy while walking,{NAME} can carry a toy while walking without falling over.,1,19,2480
111,Has adequate endurance to strength to play with peers,{NAME} can run & play with peers for and extended period of time without tiring too quickly.,1,19,2483
112,Is able to pick up a toy off of floor without falling over,{NAME} can bend over to pick a toy off of the floor without losing balance most of the time.,1,20,2579
113,Can throw a small ball while standing without losing balance,{NAME} doesn't lose balance most of the time when {HESHE} throws a ball.,1,20,2580
114,Is able to pull a toy with a string while walking forward,{NAME} can pull a toy on a string while walking forward without losing balance most of the time.,1,21,2688
115,Walks down steps holding hand two feet at a time,"{NAME} can walk down steps while holding onto the railing by stepping onto a step, then bring the other foot to meet it on the step before moving onto the next step.",1,21,2689
116,Can squat for a few seconds without losing balance,{NAME} can squat for a few seconds to play with a toy without losing balance & transitioning to a seated position.,1,22,2795
117,Climb on furniture & playground equipment,{NAME} has sufficient strength to climb onto furniture and playground equipment without help.,1,23,2900
118,Stands on tiptoes,{NAME} can stand on tiptoes for a few seconds without losing balance.,1,23,2898
119,Walks & down stairs holding railing with both feet on each step,"{NAME} can not only walk up stairs two feet at a time while holding onto the railing, but can now walk down the stairs using the same process.",1,23,2899
120,Walks smoothly,{NAME} walks smoothly without hesitation or losing balance.,1,24,3007
121,Begins running,{NAME} begins to run straight ahead without falling most of the time.,1,24,2998
122,Can propel a ride-on toy with feet on floor,{NAME} can get around using feet to propel {HIMSELFHERSELF} while sitting on a ride-on toy.,1,24,3000
123,Swings arms when walking in a hurry,{NAME} propels {HIMSELFHERSELF} forward faster while walking by swinging right arm forward while left foot is back & left arm forward while right foot is back.,1,25,3104
124,Walks & down steps without support with both feet on each step,{NAME} can walk up the steps 2 feet at a time without holding onto anyone or anything most of the time.,1,26,3198
125,Avoids obstacles while running,"{NAME} can avoid people, toys, & furniture while running most of the time.",1,26,3190
126,Stops running without using object to stop momentum,{NAME} can maintain balance when coming to a quick stop without using anything to stop {HISHER} momentum.,1,26,3194
127,Can kick a ball,{NAME} can make contact with a ball while trying to kick it most of the time while maintain balance most of the time.,1,27,3287
128,Jumps with both feet,{NAME} can jump straight up using both feet.,1,27,3288
129,Walks up steps with support while alternating feet,{NAME} can walk up steps one foot at a time without having to have both feet on a single step at the same time.,1,28,3377
130,Walks a few steps while on tiptoes,{NAME} can take a few steps while on tip toes without losing balance most of the time.,1,28,3378
131,Climbs up ladders on outdoor play equipment,{NAME} can climb a ladder at a playground.,1,29,3472
132,Able to catch a ball without losing balance,{NAME} can catch a ball with both arms under hand using chest to stop the ball without losing balance.,1,31,3685
133,Jump from bottom step with feet together,{NAME} can jump off of a single step with both feet.,1,32,3797
134,Climbs down ladders on outdoor play equipment,{NAME} can climb down a ladder on a play structure.,1,33,3908
135,Can bring chair to table & sit down,{NAME} can push and adult-sized chair to a table & climb onto to to sit down.,1,34,3947
136,Can maintain balance when accidently bumped,{NAME} does not fall over most of the time when someone bumps into {HERHIM}.,1,34,3959
137,Walks on tip toes for 6 or more steps,{NAME} can walk on {HISHER} tip toes for 6 steps or more without losing balance most of the time.,1,35,4073
138,Can imitate someone balancing on one foot,{NAME} watch someone lift {HISHER} leg to balance on one foot & imitate the gesture.,1,36,4188
139,Alternate feet while climbing the stairs on own,{NAME} can alternate feet with one foot per step while climbing the stairs without holding onto anyone or anything.,1,36,4184
140,Run & walk without tripping over own feet,{NAME} can run & walk without tripping over {HISHER} own feet most of the time.,1,36,4185
141,Can imitate someone moving both arms at the same time,{NAME} can watch someone moving both arms at the same time & imitate the movement correctly.,1,37,
142,Walks backwards,{NAME} can walk backwards for a few steps without losing balance most of the time.,1,37,
143,Can pedal a tricycle,{NAME} can pedal a tricycle or similar 3-wheeled vehicle.,1,38,
144,Walks with arms swinging opposite of foot's movement,{NAME} walks with alternating arm swing that is the opposite of the leading foot most of the time.,1,38,
145,Hops in place with both feet together,{NAME} can hop up & down in place with both feet together.,1,39,
146,Jumps off of step with one foot in front,{NAME} can jump off of a single step with one foot leading the other.,1,39,
147,Can swing independently once started,{NAME} can swing on a swing set once someone pushes {HISHER} to get {HERHIM} started.,1,40,
148,Is able to maintain balance walking on uneven surfaces,{NAME} can maintain balance while walking on uneven surfaces most of the time.,1,40,
149,Can balance on one foot for a few seconds,{NAME} can balance on one foot for a few seconds most of the time.,1,41,
150,Walks through room without bumping into anything,{NAME} can walk through a room without bumping into objects & people most of the time.,1,41,
151,Hops on one foot 2 times,{NAME} can hop on one foot 2 times without losing balance most of the time.,1,42,
152,Jumps from 18 inch height with one foot leading,{NAME} can jump off 2 steps or from a height of 18 inches with one foot leading without losing balance most of the time.,1,42,
153,Can broad jump 10-24 inches,{NAME} can jump from a standing position 10 - 24 inches without losing balance most of the time.,1,43,
154,Stand on one foot,{NAME} can balance on one foot for 10 seconds or more without losing balance most of the time.,1,44,
155,Catches a big ball regularly,{NAME} successfully catches a large ball most of the time.,1,45,
156,Seeks out various ways to move,"{NAME} likes to move about in unique & varied ways putting strength, agility & balance to the test.",1,45,
157,Kick a small ball forcefully,{NAME} can kick a small ball with a lot of force most of the time.,1,46,
158,Can walk on a line,{NAME} can maintain balance while walking on a line for a couple of feet.,1,46,
159,Throws ball overhand 7 feet,{NAME} can throw a ball overhand up to 7 feet.,1,47,
160,Can skip or gallop,"{NAME} can maintain the pattern, as well as a consistent rhythm while skipping or galloping for 30 seconds or more most of the time.",1,47,
161,Hops on one foot competently,{NAME} has mastered hopping on one foot.,1,47,
162,Swipes at toys,{NAME} uses entire arm to swipe at objects that interest {HERHIM}.,2,2,150
163,Attempts to grab at objects,{NAME} tries to use hands to grab a toy that is within reach.,2,2,150
164,"Closes hand around objects, but does not regard them","{NAME} will hold and object that is in {HISHER} hand, but pays no attention to it.",2,2,152
165,Grab own hands & bring to midline,{NAME} can successfully grab {HISHER} own hands & bring them to center of chest most of the time.,2,3,252
166,Holds object & jerks it up & down briefly,{NAME} jerks a toy up & down briefly while holding onto it.,2,3,253
167,Reaches for bottle with both hands when offered,{NAME} reaches for a bottle using both hands when you offer it to {HERHIM} most of the time.,2,3,254
168,Grabs at your hair when leaning over,"{NAME} grabs at long hair when it is in reach often tangling fingers in the hair or when successful, pulls hair. This is one of those ""unfortunate"" milestones for people with long hair, but a necessary milestone to achieve.",2,3,250
169,Brings hands to mouth successfully most of the time,{NAME} can successfully bring hands upto & into mouth most of the time.,2,3,251
170,Brings hands together to play with own fingers,{NAME} can successfully bring hands together most of the time in order to play with {HISHER} own fingers.,2,3,252
171,Grabs & holds and object with both hands,{NAME} can successfully grab & hold and object with both hands most of the time.,2,4,366
172,Touches object without holding it,"{NAME} can reach out to touch and object with fingers, but not try to hold it.",2,4,362
173,Shakes rattle once or twice,{NAME} can successfully shake a rattle once or twice most of the time.,2,4,363
174,"Reaches for objects, but frequently misses them","{NAME} regularly attempts to reach for nearby objects, but frequently misses them",2,4,364
175,Reaches for objects 6 - 12 inches away,{NAME} regularly tries to reach for objects that are 6 - 12 inches away.,2,5,483
176,Grabs objects with either hand,{NAME} can successfully grab objects with either left or right hand most of the time.,2,5,484
177,Reaches to take hold of object while on back or stomach,{NAME} can reach out to take hold of and object while lying on {HISHER} back or stomach.,2,5,485
178,Reaches for desired objects with one hand,{NAME} reaches out for a toy or desired object using only one hand most of the time.,2,5,488
179,Can crumple paper,{NAME} crumple paper that is handed to {HISHER}.,2,5,482
180,Passes objects from one hand to the other,{NAME} successfully passes and object from one hand to the other most of the time.,2,6,635
181,Grabs things without looking at it,{NAME} can successfully grab things without looking at them most of the time.,2,6,644
182,Sticks your hand in their mouth,{NAME} can navigate your or another person's hand into {HISHER} mouth most of the time.,2,6,642
183,Shakes playthings,{NAME} shakes playthings intentionally to make a sound or to understand more about how it functions.,2,6,648
184,Succeeds in grabbing objects 6 - 12 inches away,{NAME} successfully grabs desired objects that are 6 to 12 inches away most of the time.,2,6,641
185,Holds bottle on own,{NAME} can hold bottle with both hands on {HISHER} own most of the time.,2,6,646
186,Grabs own feet,{NAME} can successfully bring feet up in order to grab them with {HISHER} hands most of the time.,2,6,638
187,Points at things with open hand,{NAME} points at things with straight fingers & open hand most of the time.,2,7,787
188,Bangs object on tabletop,{NAME} regularly bangs object in hand on a tabletop or other hard surface.,2,7,786
189,Throws things on floor on purpose,{NAME} intentionally throws objects on floor to see what happens.,2,7,790
190,Likes to hold items that make sounds,{NAME} likes to hold & play with toys or objects that make sounds.,2,7,803
191,Reaches for objects nearby,{NAME} successfully reaches nearby objects most of the time.,2,7,796
192,Grabs feet & brings toes to mouth,{NAME} grabs feet & brings toes to mouth successfully most of the time.,2,7,781
193,Puts everything in mouth,{NAME} explores objects by putting them in {HISHER} mouth. This is the first process of categorization to determine whether or not object is food or not food.,2,7,802
194,Tries to grab an object that is out of reach,{NAME} tries to reach for and object that is farther than 12 inches away,2,8,968
195,Engages with activity box,"{NAME} will engage with a toy that sits on a table & has one or more activities such as moving a bead along a metal loop, turning a gear, or flipping a tile.",2,8,949
196,Releases objects by dropping them,{NAME} opens {HISHER} hand & drops and object that {HESHE} is holding in order to get it out of {HISHER} hand.,2,8,968
197,Hold toys in both hands & bang them together,"{NAME} is able to successfully bang together two toys, one in each hand, most of the time.",2,8,955
198,Can let go of objects to explore how they work,{NAME} has figured out how to open {HISHER} hand intentionally in order to let release and object that {HESHE} is holding in order to explore it from a different angle.,2,8,962
199,Can pick up finger foods,{NAME} is able to pick up finger foods successfully using one or more of {HISHER} hands most of the time.,2,9,1132
200,Pokes with fingers together at small objects,{NAME} attempts to explore small objects by poking at it with all {HISHER} fingers together.,2,9,1138
201,Plays with object with both hands,{NAME} uses both hands to explore & play with and object most of the time.,2,9,1136
202,Holds book propped on lap or pillows,{NAME} can hold a book that is propped on {HISHER} lap with both hands most of the time.,2,9,1135
203,Uses different amount of force to pick up objects,{NAME} experiments with amount of force needed to pick up objects of different sizes & weights.,2,9,1154
204,Learning pincer grip,{NAME} attempts to pick up small objects only using the thumb & index finger.,2,9,1132
205,Rolls ball across floor,{NAME} can successfully roll a ball across the floor using both hands most of the time.,2,10,1324
206,Puts objects inside of other objects,{NAME} can successfully put one object inside of another object most of the time.,2,10,1327
207,Pulls things apart,{NAME} can successfully pull items apart using both hands most of the time.,2,10,1326
208,Arranges blocks,{NAME} intentionally arranges blocks or toys.,2,10,1325
209,Starts to point at distant objects,{NAME} shows interest in objects that {HESHE} can see at a distance by pointing at them with straight fingers that are spread open.,2,10,1346
210,Lets go of object deliberately,{NAME} intentionally lets go of object most of the time as opposed to dropping it in order to reach for another object.,2,10,1328
211,Shakes & throw objects,{NAME} intentionally shakes & throws objects most of the time as opposed to throwing by accident or shaking them reflexively.,2,11,1498
212,Grabs ball rolled at {HERHIM},{NAME} can grab a ball that is rolled at [him/her] with both hands.,2,11,1502
213,Pulls shoes & socks off,"{NAME} tries to use {HISHER} hands to pull shoes & socks off, but is mostly unsuccessful.",2,11,1528
214,Likes to fill empty containers,{NAME} enjoys putting objects inside empty containers.,2,11,1497
215,Put finger foods in mouth,{NAME} successfully puts finger food in mouth most of the time.,2,11,1504
216,"Can hand and object to another person, but doesn't let go","{NAME} can place and object into another's hand when requested, but does not release it.",2,11,1499
217,Stacks blocks,"{NAME} attempts to stack one blocks on top of the other, but is mostly unsuccessful.",2,12,1512
218,Drink from sippy cup,{NAME} can drink successfully from sippy cup most of the time.,2,12,1694
219,Takes objects out of boxes,{NAME} can successfully take objects out of boxes.,2,12,1688
220,Feeds another person or pet,"{NAME} attempts to feed you, another person, or a pet imitating how you feed {HERHIM}.",2,12,1693
221,Pushes or pull toys with wheels,{NAME} successfully pushes or pull toys with wheels most of the time.,2,12,1687
222,Can mark paper with thick marker or crayon,{NAME} can make marks paper with thick marker or crayon held in fist with one or both hands.,2,12,1690
223,Tries to get spoon into own mouth with help,"{NAME} attempts to feed [himself/herself] by trying to get spoonful of food into own mouth, but requires help.",2,12,1692
224,"Throw a ball, but not overhand",{NAME} can throw a ball successfully underhand most of the time.,2,12,1706
225,Gives & takes balls,"{NAME} can successfully give a ball to, as well as take it from another person most of the time.",2,12,1698
226,Turns a several pages in a board book,{NAME} can successfully turn several pages of board books at a time most of the time.,2,12,1701
227,Can hold a book unsupported,{NAME} can hold a book with both hands by {HIMSELFHERSELF} most of the time.,2,13,1824
228,Create a block tower with help,{NAME} can create a block tower with help.,2,13,1810
229,Points at desired objects,{NAME} can point at desired objects in order to communicate {HISHER} interest in them.,2,13,1850
230,Holds & bangs objects,{NAME} can successfully hold & bang objects together such as using a wooden hammer to hit a peg or ball most of the time.,2,13,1806
231,Can pick up small objects using thumb & index finger,{NAME} can successfully pick up small objects like raisins or crayon using pincer grip most of the time.,2,13,1809
232,Clap hands,{NAME} can clap hands together successfully most of the time.,2,13,1881
233,Can build a tower of 2 blocks,{NAME} can successfully stack one block on top of another without the top block falling off most of the time.,2,14,1933
234,Holds crayon in fists & scribbles back & forth,{NAME} can hold crayon in fist & scribble back & forth using the whole arm.,2,14,1935
235,Repeatedly throws objects on the floor,{NAME} repeatedly throws objects on the floor intentionally.,2,14,1815
236,Points with index finger,{NAME} can successfully point with index finger by separating it from other fingers most of the time.,2,14,1934
237,Starts to be able to take of shoes,{NAME} begins to become successful in removing {HISHER} own shoes.,2,15,1931
238,Holds thumbs up,{NAME} is able to hold {HISHER} thumbs up.,2,15,2047
239,Can wave hand in front of own face,{NAME} can wave hands in front of own face successfully most of the time.,2,15,2002
240,Turn a few pages at a time,{NAME} can turn a few paper pages in a book at a time.,2,16,1824
241,Starts to be able to take off clothing,{NAME} begins to be able to take off clothing successfully.,2,16,2143
242,Can hold 2 fingers up,{NAME} can successfully hold index & middle fingers up & secure other fingers with thumb most of the time.,2,16,2145
243,Uses both hands equally to play with & explore toys,{NAME} uses both hands equally to play with & explore toys.,2,16,2198
244,Draws dots by banging crayon on paper,{NAME} can draw dots by banging crayon on paper.,2,17,2264
245,Uses hands to help move from one position to another,{NAME} uses hands to help move {HIMSELFHERSELF} from one position to another.,2,17,2265
246,Can turn pages individually in a board book,{NAME} can successfully turn pages individually in a board book most of the time.,2,18,1824
247,Can build a tower of 3 blocks,{NAME} can successfully build a tower of 3 blocks without help most of the time.,2,18,2379
248,Begins to show a hand preference when drawing,{NAME} is beginning to show a preference for using a certain hand when drawing.,2,18,2161
249,Begins to feed {HIMSELFHERSELF} with spoon,{NAME} begins to feed {HIMSELFHERSELF} with spoon more successfully.,2,18,2374
250,Puts objects into a container & takes out again,{NAME} is able to put objects into a container & successfully take them out again most of the time.,2,19,2056
251,Eats with a utensil,{NAME} is able to eat with a utensil successfully most of the time.,2,20,2600
252,Coordinates hands & fingers to execute a task,{NAME} can coordinate hands & fingers to work a toy or manipulate and object.,2,20,2599
253,Able to pinch small objects between fingers,{NAME} is able to pinch small objects between fingers successfully most of the time.,2,21,2703
254,Can point index finger,{NAME} is able to point index finger while holding other fingers down with thumb successfully most of the time.,2,21,2707
